x,y,z,yaw,name,ds,distance
-15.241681,52.971394,0.4220051,2.2649655,thermal-38,2.16830035789556,214.085855067982
-15.338988,52.959743,0.4152788,0.6671109,leakage-15,0.0980020308463043,214.183857098829
-15.338224,52.964901,0.4050924,0.667826,vibration-29,0.00521427463794755,214.189071373467
-15.047901,52.904987,0.4189816,-0.5769345,vibration-30,0.296440772710166,214.485512146177
-16.306381,55.160091,0.4059085,-3.1286423,via-118,2.58249219964282,217.06800434582
-19.676178,54.605389,0.4915805,2.4213181,vibration-31,3.41514657518722,220.483150921007
-19.044134,53.198421,0.4756042,1.9639363,vibration-32,1.54241322963725,222.025564150644
-19.051722,53.199444,0.4751141,1.9625237,leakage-16,0.00765664894062814,222.033220799585
-19.24847,54.588551,0.4686684,2.9705555,via-119,1.40297114473285,223.436191944317
-20.821012,55.00045,0.4957865,2.7069426,thermal-39,1.6255919315637,225.061783875881
-21.018486,54.823586,0.4810746,-2.2156203,thermal-40,0.265097821892222,225.326881697773
-21.550602,54.580532,0.3447129,1.5650541,leakage-17,0.584998020827424,225.911879718601
-21.499352,54.385124,0.3424906,1.83483,vibration-33,0.202016952169862,226.113896670771
-22.46455,54.669666,0.4990019,-3.0559316,via-120,1.00626603289985,227.12016270367
-23.20248,54.561829,0.4886234,-3.0524485,via-121,0.745767727559327,227.86593043123
-25.434465,54.625458,0.5641356,-3.0623798,via-122,2.23289177746392,230.098822208694
-25.875931,55.050587,0.4148865,-1.7140493,thermal-41,0.612884080228064,230.711706288922
-26.328659,54.969055,0.4223811,-2.3072376,leakage-18,0.460010987920938,231.171717276843
-27.575083,55.084435,0.4432806,-2.6118157,leakage-19,1.25175290380171,232.423470180644
-27.965071,55.029861,0.4579551,-2.2535415,asset-11,0.393787965306203,232.817258145951
-28.058128,55.263554,0.446149,-2.0360234,leakage-20,0.251539308057412,233.068797454008
-29.014275,53.969135,0.3992804,-1.5672144,via-123,1.6092661784708,234.678063632479
-28.794733,51.141758,0.4262067,0.6510858,thermal-42,2.83588776045403,237.513951392933
-28.767246,55.2,0.4561602,0,leakage-21,4.05833508544243,241.572286478375
-26.486942,54.413555,0.4201461,1.5100766,leakage-22,2.4121115377281,243.984398016103
-26.486942,54.413555,0.5461706,0.9302,via-124,0,243.984398016103
-25.587793,54.849037,0.5461706,-0.1408254,via-125,0.999056302980466,244.983454319084
-23.479057,54.615002,0.4676282,0.0205796,via-126,2.12168327017041,247.105137589254
-19.6332,54.8387,0.3949,0.0029,via-127,3.85235731204324,250.957494901298
-16.461763,55.137333,0.4088349,1.6534551,via-128,3.18546610618571,254.142961007483
-17.635599,57.076828,0.4646306,0.6609525,leakage-23,2.267053552504,256.410014559987
-17.346962,56.893627,0.4227467,1.4383904,thermal-43,0.341868284826185,256.751882844813
-16.735878,57.307297,0.4499992,0.3787517,thermal-44,0.737933956364659,257.489816801178
-15.639815,57.563099,0.4124569,1.5817239,via-129,1.12551710923157,258.61533391041
-16.047958,61.692738,0.4088,-3.1378167,via-130,4.14975890610165,262.765092816511
-21.9204,61.1164,0.4518,-3.0751,via-131,5.90065594096182,268.665748757473
-26.8337,60.791,0.5015,-3.114,via-132,4.92406357087315,273.589812328346
-28.7756927757588,62.6152474228876,0.4906,-3.1185,via-133,2.66443513732486,276.254247465671
-35.7123871835376,62.2072065753712,0.5301,3.1388,via-134,6.94868524543684,283.202932711108
-36.490421,57.750374,0.5482615,-0.2166154,via-135,4.52423399311405,287.727166704222
-37.383125,58.051136,0.4125246,-0.3349768,leakage-26,0.942007543632217,288.669174247854
-36.5755424499512,57.8398933410645,0.5633,-0.322303980588913,via-136,0.834753278578483,289.503927526433
-37.0115203857422,57.17578125,0.3892672,1.05376887321472,leakage-27,0.794431639598144,290.298359166031
-36.5882,55.0793,0.5633,2.68811602929465,via-137,2.13879259877775,292.437151764809
-38.362858,54.198475,0.566249,2.7965906,leakage-28,1.98122782576588,294.418379590574
-39.62635,54.167332,0.5767405,-0.5100148,thermal-52,1.26387575359012,295.682255344165
-39.6413,54.4258,0.5566011,0.2373693,leakage-29,0.258899999080727,295.941155343245
-40.510506,55.037773,0.5604453,-3.090409,via-159,1.06302870288859,297.004184046134
-42.482056,54.686817,0.6027089,-2.5004263,thermal-53,2.00254326206352,299.006727308197
-42.8965530395508,54.5160064697266,0,-0.884930908679962,via-160,0.448312427943565,299.455039736141
-43.6415519714356,55.4645919799805,0.4744226,-0.350703716278076,via-161,1.2061666048988,300.66120634104
-43.6415519714356,55.4645919799805,0.4744226,-0.350703716278076,leakage-30,0,300.66120634104
-43.302322,55.089813,0.6115336,0.3392125,leakage-31,0.505505941958515,301.166712282998
-43.9508,54.617,0,-0.0893,via-162,0.80254336297362,301.969255645972
