x,y,z,yaw,name,d,distance
-16.195604,63.071499,0.3743068,-1.5140579,via-102,5.64812066076965,357.178578859961
-16.158087,61.640396,0.3764079,-0.0035389,via-103-before2nd,1.43159467793716,358.610173537898
-9.1036692,61.894161,3.3290496,0.0011854,via-104-2nd,7.05898060432112,365.669154142219
-8.7441101,61.414852,3.3321419,-1.5792437,via-105,0.599182663195293,366.268336805414
-8.80559094024417,60.2139850518589,3.3176277,-3.0771234,via-106,1.20243973689119,367.470776542306
-10.2805437873273,60.0726722042341,0,-2.8658,via-107,1.48170686102966,368.952483403335
-12.075627,59.486111,3.2617469,-1.1311175,thermal-45,1.88848558022877,370.840968983564
-12.052152,59.548809,3.3055103,-2.0999625,thermal-46,0.0669485984095242,370.907917581974
-12.084087,58.577923,3.2927039,-1.5507947,gauge-1,0.971411071185109,371.879328653159
-12.081274,58.577335,3.2853496,-1.550493,gauge-2,0.00287379766163157,371.88220245082
-12.195883,57.998676,3.2979333,1.6192183,leakage-24,0.589899534804015,372.472101985624
-13.198621,59.091412,3.2946243,-1.5238308,thermal-47,1.4830898362338,373.955191821858
-14.039406,56.464039,3.3358517,-1.0804946,thermal-48,2.75862434872057,376.713816170579
-13.666488,55.260002,3.3079243,-1.2708094,thermal-49,1.26046536330555,377.974281533884
-13.403976,53.845329,3.2970333,2.2848938,leakage-25,1.43882321605992,379.413104749944
-15.20247,53.31694,3.2926416,0.4147432,thermal-50,1.87450676268639,381.28761151263
-15.213236,53.318554,3.2876682,0.4157658,thermal-51,0.0108863103023933,381.298497822933
-13.294253,54.231941,3.2782199,1.692948,via-108,2.12526976312608,383.423767586059
-13.385868,58.361221,3.3193972,0.1140161,via-109,4.13029619114961,387.554063777209
-12.2854,59.6664,3.2678,-2.7252,via-110,1.70719713011269,389.261260907321
-10.731,59.8,3.2678,-2.9466,via-111,1.56013086630577,390.821391773627
-8.8233,60.3288,3.3152,-1.8599,via-112,1.979633483754,392.801025257381
-9.0311089,61.562763,3.2967606,-0.8303546,via-113,1.25133897257626,394.052364229957
-9.957777,61.862873,3.2870538,0.0271908,via-114-before-1st,0.974053273521327,395.026417503479
-16.20882,61.776878,0.3804214,0.0086832,via-115-after,6.25163448450675,401.278051987986
-16.038097,55.922745,0.3919586,-1.513927,via-116,5.85662185260565,407.134673840591
-15.9657,53.4563,0.3949,-1.509,via-117,2.46750729758475,409.602181138176
-14.958688,52.927303,0.41081,-2.4286108,thermal-37,1.13750208534006,410.739683223516
-13.686208,54.482033,0.3963146,-2.2776961,leakage-14,2.00907708246846,412.748760305984
-15.241681,52.971394,0.4220051,2.2649655,thermal-38,2.16830035789556,414.91706066388
-15.338988,52.959743,0.4152788,0.6671109,leakage-15,0.0980020308463043,415.015062694726
-15.338224,52.964901,0.4050924,0.667826,vibration-29,0.00521427463794755,415.020276969364
-15.047901,52.904987,0.4189816,-0.5769345,vibration-30,0.296440772710166,415.316717742074
-16.306381,55.160091,0.4059085,-3.1286423,via-118,2.58249219964282,417.899209941717
-19.676178,54.605389,0.4915805,2.4213181,vibration-31,3.41514657518722,421.314356516904
